well      sample name         object              specimen_ID         barcode             
A1        PB1                 NaN                 NaN                 NaN                 
A2        EC1                 NaN                 NaN                 NaN                 
A3        S1                  Control             1030                54683518            
A4        S2                  Case                1031                58471692            
A5        S3                  Control             741                 78851948            
A6        S4                  Case                742                 96173114            
A7        S5                  Control             675                 84721341            
A8        S6                  Case                676                 28087656            
A9        S7                  Control             554                 96370377            
A10       S8                  Case                555                 35797180            
A11       S9                  Control             747                 59486572            
A12       S10                 Case                748                 8990228             
B1        S11                 Control             164                 10074589            
B2        PO1                 NaN                 NaN                 NaN                 
B3        EC2                 NaN                 NaN                 NaN                 
B4        S12                 Case                165                 92177192            
B5        S13                 Control             1017                73611400            
B6        S14                 Case                1018                15933331            
B7        S15                 Control             831                 5212286             
B8        S16                 Case                832                 49888645            
B9        S17                 Control             435                 16646070            
B10       S18                 Case                436                 94372489            
B11       S19                 Control             675                 13082178            
B12       S20                 Case                676                 22552952            
C1        S21                 Control             37                  75883423            
C2        S22                 Case                38                  7322488             
C3        PB2                 NaN                 NaN                 NaN                 
C4        EC3                 NaN                 NaN                 NaN                 
C5        S23                 Control             880                 71493398            
C6        S24                 Case                881                 54374980            
C7        S25                 Control             492                 26469041            
C8        S26                 Case                493                 51391270            
C9        S27                 Control             529                 22283733            
C10       S28                 Case                530                 68648763            
C11       S29                 Control             501                 13299989            
C12       S30                 Case                502                 66434436            
D1        S31                 Control             127                 17752428            
D2        S32                 Case                128                 11430117            
D3        S33                 Control             438                 8699787             
D4        PO2                 NaN                 NaN                 NaN                 
D5        EC4                 NaN                 NaN                 NaN                 
D6        S34                 Case                439                 73309048            
D7        S35                 Control             455                 97807735            
D8        S36                 Case                456                 92397620            
D9        S37                 Control             529                 96989395            
D10       S38                 Case                530                 82548179            
D11       S39                 Control             101                 51367473            
D12       S40                 Case                102                 48344739            
E1        S41                 Control             985                 79319591            
E2        S42                 Case                986                 58204467            
E3        S43                 Control             138                 77326348            
E4        S44                 Case                139                 23882119            
E5        PB3                 NaN                 NaN                 NaN                 
E6        EC5                 NaN                 NaN                 NaN                 
E7        S45                 Control             900                 50609949            
E8        S46                 Case                901                 72985922            
E9        S47                 Control             964                 55402224            
E10       S48                 Case                965                 30564770            
E11       S49                 Control             228                 85839731            
E12       S50                 Case                229                 51489519            
F1        S51                 Control             916                 827546              
F2        S52                 Case                917                 65871720            
F3        S53                 Control             839                 63433586            
F4        S54                 Case                840                 15895370            
F5        S55                 Control             573                 67232109            
F6        PO3                 NaN                 NaN                 NaN                 
F7        EC6                 NaN                 NaN                 NaN                 
F8        S56                 Case                574                 70686487            
F9        S57                 Control             704                 58011942            
F10       S58                 Case                705                 31170031            
F11       S59                 Control             679                 11762744            
F12       S60                 Case                680                 11210351            
G1        S61                 Control             112                 28410553            
G2        S62                 Case                113                 38940293            
G3        S63                 Control             624                 98862498            
G4        S64                 Case                625                 88629254            
G5        S65                 Control             51                  7703140             
G6        S66                 Case                52                  1595635             
G7        PB4                 NaN                 NaN                 NaN                 
G8        EC7                 NaN                 NaN                 NaN                 
G9        S67                 Control             204                 20209698            
G10       S68                 Case                205                 36866915            
G11       S69                 Control             283                 39954848            
G12       S70                 Case                284                 95868455            
H1        S71                 Control             273                 85153493            
H2        S72                 Case                274                 27589267            
H3        S73                 Control             834                 47082144            
H4        S74                 Case                835                 44773212            
H5        S75                 Control             826                 76788314            
H6        S76                 Case                827                 70555981            
H7        S77                 Control             491                 8492784             
H8        PO4                 NaN                 NaN                 NaN                 
H9        EC8                 NaN                 NaN                 NaN                 
H10       S78                 Case                492                 75603304            
H11       S79                 Control             547                 26881423            
H12       S80                 Case                548                 25245653            
