well      sample name         object              specimen_ID         barcode             
A1        PB1                 NaN                 NaN                 NaN                 
A2        EC1                 NaN                 NaN                 NaN                 
A3        S1                  Control             884                 36639373            
A4        S2                  Case                885                 44897765            
A5        S3                  Control             40                  89573518            
A6        S4                  Case                41                  74792740            
A7        S5                  Control             821                 2537603             
A8        S6                  Case                822                 7529023             
A9        S7                  Control             101                 83805585            
A10       S8                  Case                102                 5836772             
A11       S9                  Control             465                 51258702            
A12       S10                 Case                466                 25690309            
B1        S11                 Control             521                 90294280            
B2        PO1                 NaN                 NaN                 NaN                 
B3        EC2                 NaN                 NaN                 NaN                 
B4        S12                 Case                522                 17297264            
B5        S13                 Control             565                 34318508            
B6        S14                 Case                566                 81257508            
B7        S15                 Control             151                 43007431            
B8        S16                 Case                152                 90311468            
B9        S17                 Control             502                 85161610            
B10       S18                 Case                503                 71754031            
B11       S19                 Control             380                 71381565            
B12       S20                 Case                381                 88559377            
C1        S21                 Control             752                 84469663            
C2        S22                 Case                753                 13927769            
C3        PB2                 NaN                 NaN                 NaN                 
C4        EC3                 NaN                 NaN                 NaN                 
C5        S23                 Control             284                 15700667            
C6        S24                 Case                285                 19331232            
C7        S25                 Control             479                 5250554             
C8        S26                 Case                480                 69116032            
C9        S27                 Control             720                 82052294            
C10       S28                 Case                721                 30583689            
C11       S29                 Control             522                 12247110            
C12       S30                 Case                523                 70881226            
D1        S31                 Control             852                 49462012            
D2        S32                 Case                853                 4466                
D3        S33                 Control             416                 53997838            
D4        PO2                 NaN                 NaN                 NaN                 
D5        EC4                 NaN                 NaN                 NaN                 
D6        S34                 Case                417                 24664233            
D7        S35                 Control             445                 23382251            
D8        S36                 Case                446                 96938959            
D9        S37                 Control             547                 42123569            
D10       S38                 Case                548                 49306682            
D11       S39                 Control             929                 91936233            
D12       S40                 Case                930                 74642267            
E1        S41                 Control             412                 35589785            
E2        S42                 Case                413                 71624259            
E3        S43                 Control             532                 33241173            
E4        S44                 Case                533                 38284663            
E5        PB3                 NaN                 NaN                 NaN                 
E6        EC5                 NaN                 NaN                 NaN                 
E7        S45                 Control             374                 7173905             
E8        S46                 Case                375                 63582536            
E9        S47                 Control             652                 91554871            
E10       S48                 Case                653                 60725615            
E11       S49                 Control             177                 70738704            
E12       S50                 Case                178                 12702732            
F1        S51                 Control             492                 47079861            
F2        S52                 Case                493                 87615456            
F3        S53                 Control             430                 69434983            
F4        S54                 Case                431                 46957030            
F5        S55                 Control             253                 56525311            
F6        PO3                 NaN                 NaN                 NaN                 
F7        EC6                 NaN                 NaN                 NaN                 
F8        S56                 Case                254                 44709211            
F9        S57                 Control             827                 54595828            
F10       S58                 Case                828                 35259442            
F11       S59                 Control             866                 54133549            
F12       S60                 Case                867                 4735151             
G1        S61                 Control             934                 79038997            
G2        S62                 Case                935                 59137665            
G3        S63                 Control             934                 46218506            
G4        S64                 Case                935                 34970300            
G5        S65                 Control             138                 68652937            
G6        S66                 Case                139                 44425968            
G7        PB4                 NaN                 NaN                 NaN                 
G8        EC7                 NaN                 NaN                 NaN                 
G9        S67                 Control             556                 14125973            
G10       S68                 Case                557                 98259298            
G11       S69                 Control             227                 96193617            
G12       S70                 Case                228                 58409138            
H1        S71                 Control             61                  20879518            
H2        S72                 Case                62                  64088549            
H3        S73                 Control             705                 37341770            
H4        S74                 Case                706                 80075257            
H5        S75                 Control             434                 81084524            
H6        S76                 Case                435                 62805759            
H7        S77                 Control             1021                15437419            
H8        PO4                 NaN                 NaN                 NaN                 
H9        EC8                 NaN                 NaN                 NaN                 
H10       S78                 Case                1022                53735409            
H11       S79                 Control             711                 10831397            
H12       S80                 Case                712                 34425626            
