well      sample name         object              specimen_ID         barcode             
A1        PB1                 NaN                 NaN                 NaN                 
A2        EC1                 NaN                 NaN                 NaN                 
A3        S1                  Control             879                 66549451            
A4        S2                  Case                880                 85370951            
A5        S3                  Control             345                 18922608            
A6        S4                  Case                346                 21338748            
A7        S5                  Control             801                 79659888            
A8        S6                  Case                802                 29569625            
A9        S7                  Control             390                 44478001            
A10       S8                  Case                391                 84948861            
A11       S9                  Control             346                 50521647            
A12       S10                 Case                347                 16272224            
B1        S11                 Control             14                  63841411            
B2        PO1                 NaN                 NaN                 NaN                 
B3        EC2                 NaN                 NaN                 NaN                 
B4        S12                 Case                15                  5240678             
B5        S13                 Control             523                 17783163            
B6        S14                 Case                524                 476355              
B7        S15                 Control             958                 28735885            
B8        S16                 Case                959                 69221651            
B9        S17                 Control             214                 29287451            
B10       S18                 Case                215                 11751700            
B11       S19                 Control             3                   64860831            
B12       S20                 Case                4                   27832165            
C1        S21                 Control             842                 69608438            
C2        S22                 Case                843                 50038480            
C3        PB2                 NaN                 NaN                 NaN                 
C4        EC3                 NaN                 NaN                 NaN                 
C5        S23                 Control             486                 97262695            
C6        S24                 Case                487                 73848622            
C7        S25                 Control             950                 7268250             
C8        S26                 Case                951                 72747094            
C9        S27                 Control             770                 14903694            
C10       S28                 Case                771                 1149548             
C11       S29                 Control             170                 88513157            
C12       S30                 Case                171                 64957845            
D1        S31                 Control             415                 26004785            
D2        S32                 Case                416                 75039110            
D3        S33                 Control             422                 77497734            
D4        PO2                 NaN                 NaN                 NaN                 
D5        EC4                 NaN                 NaN                 NaN                 
D6        S34                 Case                423                 53421081            
D7        S35                 Control             176                 93743488            
D8        S36                 Case                177                 5493197             
D9        S37                 Control             77                  97328704            
D10       S38                 Case                78                  59396635            
D11       S39                 Control             581                 42208               
D12       S40                 Case                582                 97467014            
E1        S41                 Control             684                 74735105            
E2        S42                 Case                685                 77246080            
E3        S43                 Control             355                 37963651            
E4        S44                 Case                356                 78671386            
E5        PB3                 NaN                 NaN                 NaN                 
E6        EC5                 NaN                 NaN                 NaN                 
E7        S45                 Control             502                 88142821            
E8        S46                 Case                503                 14918988            
E9        S47                 Control             380                 70194364            
E10       S48                 Case                381                 88715735            
E11       S49                 Control             112                 64670768            
E12       S50                 Case                113                 98838783            
F1        S51                 Control             509                 97749943            
F2        S52                 Case                510                 97103035            
F3        S53                 Control             470                 58268346            
F4        S54                 Case                471                 61074675            
F5        S55                 Control             972                 57247281            
F6        PO3                 NaN                 NaN                 NaN                 
F7        EC6                 NaN                 NaN                 NaN                 
F8        S56                 Case                973                 87179156            
F9        S57                 Control             916                 79870184            
F10       S58                 Case                917                 60835413            
F11       S59                 Control             86                  9948075             
F12       S60                 Case                87                  64650982            
G1        S61                 Control             896                 24545280            
G2        S62                 Case                897                 43075294            
G3        S63                 Control             835                 700481              
G4        S64                 Case                836                 1373585             
G5        S65                 Control             718                 42154655            
G6        S66                 Case                719                 81027347            
G7        PB4                 NaN                 NaN                 NaN                 
G8        EC7                 NaN                 NaN                 NaN                 
G9        S67                 Control             284                 3075449             
G10       S68                 Case                285                 54578142            
G11       S69                 Control             743                 3088234             
G12       S70                 Case                744                 57371023            
H1        S71                 Control             271                 11196396            
H2        S72                 Case                272                 39657336            
H3        S73                 Control             175                 42619291            
H4        S74                 Case                176                 8609717             
H5        S75                 Control             799                 45291838            
H6        S76                 Case                800                 11266372            
H7        S77                 Control             63                  52790133            
H8        PO4                 NaN                 NaN                 NaN                 
H9        EC8                 NaN                 NaN                 NaN                 
H10       S78                 Case                64                  11080169            
H11       S79                 Control             373                 61499065            
H12       S80                 Case                374                 18494365            
